timestamp [UTC],input_tokens,output_tokens,total_tokens
"11/4/2025, 2:03:55.058 AM",24852,834,25686
"11/4/2025, 2:03:55.146 AM",22980,1048,24028
"11/4/2025, 2:03:57.479 AM",15607,1208,16815
"11/4/2025, 2:03:59.546 AM",15209,2343,17552
"11/4/2025, 2:03:59.991 AM",31019,1343,32362
"11/4/2025, 2:04:42.689 AM",912,0,912
"11/4/2025, 2:04:42.883 AM",754,0,754
"11/4/2025, 2:04:43.054 AM",1056,0,1056
"11/4/2025, 2:05:13.628 AM",754,0,754
"11/4/2025, 2:05:13.839 AM",912,0,912
"11/4/2025, 2:05:14.054 AM",1056,0,1056
"11/4/2025, 2:05:31.455 AM",751,0,751
"11/4/2025, 2:05:31.686 AM",537,0,537
"11/4/2025, 2:05:32.005 AM",912,0,912
"11/4/2025, 2:05:32.205 AM",2046,0,2046
"11/4/2025, 2:05:32.299 AM",1046,0,1046
"11/4/2025, 2:11:10.797 AM",2046,0,2046
"11/4/2025, 2:11:10.815 AM",751,0,751
"11/4/2025, 2:11:10.926 AM",912,0,912
"11/4/2025, 2:11:10.929 AM",537,0,537
"11/4/2025, 2:11:11.649 AM",1046,0,1046
"11/4/2025, 2:21:39.159 AM",410,0,410
"11/4/2025, 2:21:40.247 AM",1176,0,1176
"11/4/2025, 2:21:40.454 AM",2493,0,2493
"11/4/2025, 2:23:08.214 AM",1234,0,1234
"11/4/2025, 2:28:46.411 AM",2493,0,2493
"11/4/2025, 2:28:46.641 AM",1176,0,1176
"11/4/2025, 2:28:47.737 AM",421,0,421
"11/4/2025, 2:29:00.935 AM",1234,0,1234
"11/4/2025, 2:29:01.814 AM",15,0,15
"11/4/2025, 2:29:01.814 AM",13,0,13
"11/4/2025, 2:29:02.145 AM",16,0,16
"11/4/2025, 2:29:03.428 AM",8023,0,8023
"11/4/2025, 2:29:03.520 AM",462,0,462
"11/4/2025, 2:29:27.492 AM",1207,0,1207
"11/4/2025, 2:29:28.624 AM",13,0,13
"11/4/2025, 2:29:28.696 AM",16,0,16
"11/4/2025, 2:29:28.748 AM",15,0,15
"11/4/2025, 2:29:29.573 AM",7996,0,7996
"11/4/2025, 2:29:29.642 AM",437,0,437
"11/4/2025, 2:44:58.895 PM",29,0,29
"11/4/2025, 2:45:03.744 PM",27,309,336
"11/4/2025, 3:07:39.926 PM",27,309,336
"11/4/2025, 3:07:46.177 PM",29,0,29
"11/4/2025, 3:07:55.474 PM",27,309,336
"11/4/2025, 3:08:42.156 PM",29,0,29
"11/4/2025, 3:45:34.176 PM",67140,939,68079
"11/4/2025, 3:45:35.085 PM",45081,1122,46203
"11/4/2025, 3:45:35.233 PM",27057,637,27694
"11/4/2025, 3:45:36.237 PM",48469,1290,49759
"11/4/2025, 3:45:37.517 PM",52094,1045,53139
"11/4/2025, 3:45:39.875 PM",85065,1121,86186
"11/4/2025, 3:45:42.063 PM",78840,954,79794
"11/4/2025, 3:45:42.676 PM",47955,1069,49024
"11/4/2025, 3:45:43.475 PM",101752,1325,103077
"11/4/2025, 3:45:52.453 PM",59318,1008,60326
"11/4/2025, 3:45:54.699 PM",71995,3910,75905
"11/4/2025, 3:45:56.173 PM",78313,1782,80095
"11/4/2025, 3:45:58.913 PM",646,0,646
"11/4/2025, 3:46:01.007 PM",2094,0,2094
"11/4/2025, 3:46:01.713 PM",414,0,414
"11/4/2025, 3:46:03.774 PM",2089,0,2089
"11/4/2025, 3:46:05.157 PM",1747,0,1747
"11/4/2025, 3:46:06.161 PM",39,0,39
"11/4/2025, 3:46:07.592 PM",1037,0,1037
"11/4/2025, 3:46:08.727 PM",143,0,143
"11/4/2025, 3:46:09.924 PM",162,0,162
"11/4/2025, 3:46:11.321 PM",112,0,112
"11/4/2025, 3:46:12.904 PM",484,0,484
"11/4/2025, 3:46:14.260 PM",1116,0,1116
"11/4/2025, 3:46:16.330 PM",749,0,749
"11/4/2025, 3:46:17.959 PM",2103,0,2103
"11/4/2025, 3:46:19.163 PM",159,0,159
"11/4/2025, 3:51:47.334 PM",27057,626,27683
"11/4/2025, 3:51:49.609 PM",78840,1255,80095
"11/4/2025, 3:51:49.812 PM",45081,1070,46151
"11/4/2025, 3:51:50.837 PM",67140,857,67997
"11/4/2025, 3:51:53.140 PM",47955,971,48926
"11/4/2025, 3:51:53.383 PM",52094,1025,53119
"11/4/2025, 3:51:53.424 PM",48469,1049,49518
"11/4/2025, 3:51:54.135 PM",85065,1258,86323
"11/4/2025, 3:51:56.934 PM",101752,1237,102989
"11/4/2025, 3:51:58.174 PM",59318,761,60079
"11/4/2025, 3:51:58.960 PM",71995,1654,73649
"11/4/2025, 3:52:11.988 PM",78313,1599,79912
"11/4/2025, 3:52:20.617 PM",559,0,559
"11/4/2025, 3:52:22.556 PM",759,0,759
"11/4/2025, 3:52:23.365 PM",1361,0,1361
"11/4/2025, 3:52:26.105 PM",819,0,819
"11/4/2025, 3:52:27.093 PM",1108,0,1108
"11/4/2025, 3:52:27.697 PM",1370,0,1370
"11/4/2025, 3:52:28.479 PM",2119,0,2119
"11/4/2025, 3:52:29.847 PM",1951,0,1951
"11/4/2025, 4:01:42.104 PM",27057,621,27678
"11/4/2025, 4:01:44.657 PM",47955,780,48735
"11/4/2025, 4:01:56.514 PM",101752,1323,103075
"11/4/2025, 4:01:57.153 PM",78840,800,79640
"11/4/2025, 4:01:59.669 PM",85065,1342,86407
"11/4/2025, 4:02:01.218 PM",59318,1154,60472
"11/4/2025, 4:02:01.270 PM",52094,1048,53142
"11/4/2025, 4:02:01.600 PM",45081,1080,46161
"11/4/2025, 4:02:07.323 PM",67140,890,68030
"11/4/2025, 4:02:07.527 PM",48469,1034,49503
"11/4/2025, 4:02:10.307 PM",71995,2285,74280
"11/4/2025, 4:02:22.465 PM",78313,1778,80091
"11/4/2025, 4:02:32.922 PM",1310,0,1310
"11/4/2025, 4:02:37.624 PM",2042,0,2042
"11/4/2025, 4:02:39.220 PM",1471,0,1471
"11/4/2025, 4:02:41.104 PM",804,0,804
"11/4/2025, 4:02:42.362 PM",1290,0,1290
"11/4/2025, 4:02:43.594 PM",818,0,818
"11/4/2025, 4:02:44.840 PM",129,0,129
"11/4/2025, 4:02:46.611 PM",971,0,971
"11/4/2025, 4:02:51.769 PM",1732,0,1732
"11/4/2025, 4:04:59.514 PM",1176,0,1176
"11/4/2025, 4:04:59.833 PM",2493,0,2493
"11/4/2025, 4:05:01.471 PM",421,0,421
"11/4/2025, 4:33:42.241 AM",21,309,330
"11/4/2025, 4:35:47.929 AM",27,309,336
"11/4/2025, 4:35:56.827 AM",29,0,29
"11/7/2025, 10:14:53.036 PM",1234,0,1234
"11/7/2025, 10:14:53.665 PM",16,0,16
"11/7/2025, 10:14:54.934 PM",13,0,13
"11/7/2025, 10:14:55.246 PM",15,0,15
"11/7/2025, 10:14:55.336 PM",7349,0,7349
"11/7/2025, 10:14:56.915 PM",462,0,462
